"nb_threads","pattern","size","value","input_instance","implementation","run_instance","time"
seq,uniform-random,1048576,123456,1,parallel,1,93.285905
seq,uniform-random,1048576,123456,1,parallel,2,93.725969
seq,uniform-random,1048576,123456,1,drake,1,94.547919
seq,uniform-random,1048576,123456,1,drake,2,94.074815
seq,uniform-random,1048576,123456,2,parallel,1,92.812917
seq,uniform-random,1048576,123456,2,parallel,2,91.832640
seq,uniform-random,1048576,123456,2,drake,1,93.765622
seq,uniform-random,1048576,123456,2,drake,2,95.334011
seq,uniform-random,4194304,123456,1,parallel,1,391.682725
seq,uniform-random,4194304,123456,1,parallel,2,390.988018
seq,uniform-random,4194304,123456,1,drake,1,400.651926
seq,uniform-random,4194304,123456,1,drake,2,400.788145
seq,uniform-random,4194304,123456,2,parallel,1,391.074994
seq,uniform-random,4194304,123456,2,parallel,2,391.634273
seq,uniform-random,4194304,123456,2,drake,1,399.672260
seq,uniform-random,4194304,123456,2,drake,2,399.798866
seq,uniform-random,16777216,123456,1,parallel,1,1700.812310
seq,uniform-random,16777216,123456,1,parallel,2,1700.554939
seq,uniform-random,16777216,123456,1,drake,1,1725.079738
seq,uniform-random,16777216,123456,1,drake,2,1725.612565
seq,uniform-random,16777216,123456,2,parallel,1,1701.279027
seq,uniform-random,16777216,123456,2,parallel,2,1701.442683
seq,uniform-random,16777216,123456,2,drake,1,1734.504070
seq,uniform-random,16777216,123456,2,drake,2,1733.255875
seq,increasing,1048576,123456,1,parallel,1,28.190847
seq,increasing,1048576,123456,1,parallel,2,27.477291
seq,increasing,1048576,123456,1,drake,1,30.653589
seq,increasing,1048576,123456,1,drake,2,30.964528
seq,increasing,4194304,123456,1,parallel,1,109.803464
seq,increasing,4194304,123456,1,parallel,2,109.927718
seq,increasing,4194304,123456,1,drake,1,116.905119
seq,increasing,4194304,123456,1,drake,2,116.951128
seq,increasing,16777216,123456,1,parallel,1,469.241103
seq,increasing,16777216,123456,1,parallel,2,469.804734
seq,increasing,16777216,123456,1,drake,1,498.913078
seq,increasing,16777216,123456,1,drake,2,499.270875
seq,decreasing,1048576,123456,1,parallel,1,18.962474
seq,decreasing,1048576,123456,1,parallel,2,19.443948
seq,decreasing,1048576,123456,1,drake,1,21.705647
seq,decreasing,1048576,123456,1,drake,2,22.377071
seq,decreasing,4194304,123456,1,parallel,1,74.267890
seq,decreasing,4194304,123456,1,parallel,2,73.526325
seq,decreasing,4194304,123456,1,drake,1,81.730683
seq,decreasing,4194304,123456,1,drake,2,81.862412
